epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3544.26,1.54981,1.09432,0.90459,0.43171,0.33686,0.33066,0.18744,1.48816,1.05626,0.90166,0.0007294,0.0007294,0.0007294
43,3626.57,1.54339,1.08381,0.90369,0.43192,0.34038,0.33465,0.19148,1.47821,1.05272,0.9016,0.0007228,0.0007228,0.0007228
44,3709.31,1.54213,1.08294,0.90156,0.44259,0.33332,0.33253,0.18967,1.47741,1.04594,0.89909,0.0007162,0.0007162,0.0007162
45,3791.92,1.53832,1.07758,0.9015,0.42635,0.34191,0.33143,0.18884,1.4734,1.04775,0.90028,0.0007096,0.0007096,0.0007096
46,3875.67,1.52989,1.07773,0.90275,0.44154,0.34681,0.3409,0.19432,1.46555,1.03919,0.89738,0.000703,0.000703,0.000703
47,3957.44,1.52523,1.07093,0.90012,0.44698,0.33706,0.3368,0.19333,1.46339,1.03979,0.89836,0.0006964,0.0006964,0.0006964
48,4041,1.52694,1.06579,0.89835,0.43354,0.34317,0.33599,0.19205,1.45689,1.03856,0.89657,0.0006898,0.0006898,0.0006898
49,4122.67,1.51287,1.05847,0.90016,0.44078,0.34395,0.34216,0.19554,1.4588,1.03222,0.89668,0.0006832,0.0006832,0.0006832
50,4205.81,1.51371,1.0565,0.89861,0.44362,0.34722,0.34521,0.19605,1.46177,1.03378,0.89813,0.0006766,0.0006766,0.0006766
51,4289.21,1.52399,1.05805,0.8973,0.44568,0.34425,0.34502,0.19809,1.45921,1.02819,0.8965,0.00067,0.00067,0.00067
52,4372.92,1.51213,1.05321,0.89644,0.44956,0.34944,0.34418,0.19569,1.45409,1.02559,0.89483,0.0006634,0.0006634,0.0006634
53,4456.55,1.50805,1.04659,0.89587,0.4431,0.35405,0.34842,0.19913,1.45174,1.02481,0.89384,0.0006568,0.0006568,0.0006568
54,4540.07,1.50227,1.04265,0.89716,0.45037,0.34174,0.34741,0.19969,1.45062,1.02419,0.89451,0.0006502,0.0006502,0.0006502
55,4621.83,1.50021,1.03713,0.89467,0.44401,0.34875,0.34592,0.19886,1.44517,1.02302,0.89321,0.0006436,0.0006436,0.0006436
56,4704.08,1.50445,1.04377,0.89447,0.45708,0.35129,0.35092,0.20103,1.44457,1.02162,0.89317,0.000637,0.000637,0.000637
57,4786.53,1.49726,1.03391,0.89349,0.45205,0.35024,0.3465,0.19881,1.44448,1.01897,0.8925,0.0006304,0.0006304,0.0006304
58,4868.23,1.4895,1.02728,0.89341,0.44692,0.35622,0.35267,0.20237,1.4402,1.01289,0.89247,0.0006238,0.0006238,0.0006238
59,4960.72,1.48693,1.0269,0.89332,0.44893,0.3546,0.35141,0.20157,1.4408,1.016,0.89272,0.0006172,0.0006172,0.0006172
60,5064.17,1.49242,1.02985,0.89328,0.45395,0.35744,0.35467,0.2036,1.43446,1.00962,0.89222,0.0006106,0.0006106,0.0006106
61,5178.29,1.4983,1.02704,0.8921,0.45545,0.35782,0.35648,0.20367,1.43689,1.00977,0.89237,0.000604,0.000604,0.000604
62,5271.85,1.48343,1.0176,0.88924,0.45497,0.35593,0.35576,0.20478,1.43847,1.01101,0.89175,0.0005974,0.0005974,0.0005974
63,5366.63,1.4903,1.01885,0.88999,0.44932,0.36313,0.3584,0.20567,1.43713,1.01131,0.8918,0.0005908,0.0005908,0.0005908
64,5464.77,1.48393,1.01426,0.89042,0.45354,0.35872,0.35675,0.2047,1.43333,1.00464,0.89047,0.0005842,0.0005842,0.0005842
65,5560.47,1.48554,1.0152,0.89155,0.46151,0.35732,0.35754,0.20557,1.43302,1.00153,0.88997,0.0005776,0.0005776,0.0005776
66,5658.36,1.4743,1.00415,0.88955,0.47068,0.35328,0.3588,0.20669,1.42744,1.00091,0.88976,0.000571,0.000571,0.000571
67,5757.53,1.47789,1.0103,0.88986,0.46604,0.35858,0.36082,0.20711,1.42899,1.00597,0.88952,0.0005644,0.0005644,0.0005644
68,5852.8,1.4681,0.99664,0.88675,0.46052,0.35871,0.3611,0.20838,1.43004,0.99946,0.8904,0.0005578,0.0005578,0.0005578
69,5949.59,1.46666,0.998,0.88946,0.45629,0.36606,0.36193,0.20888,1.42639,0.99823,0.88927,0.0005512,0.0005512,0.0005512
70,6047.85,1.46823,1.0008,0.88709,0.46809,0.35622,0.36164,0.20857,1.42148,1.00098,0.8881,0.0005446,0.0005446,0.0005446
71,6144.03,1.46711,1.00126,0.88738,0.46056,0.36105,0.36248,0.20913,1.42347,0.99817,0.888,0.000538,0.000538,0.000538
72,6239.5,1.46209,0.99546,0.88604,0.45186,0.36529,0.36406,0.20993,1.42091,0.99608,0.88848,0.0005314,0.0005314,0.0005314
73,6336.19,1.45548,0.99083,0.88649,0.46649,0.35853,0.3635,0.20991,1.42069,0.99604,0.88782,0.0005248,0.0005248,0.0005248
74,6432.94,1.46052,0.99049,0.88331,0.46481,0.36223,0.36495,0.20977,1.42242,0.99113,0.88859,0.0005182,0.0005182,0.0005182
75,6530.34,1.45031,0.98565,0.88507,0.45985,0.36412,0.36606,0.21038,1.41941,0.98952,0.88834,0.0005116,0.0005116,0.0005116
76,6626.73,1.46694,0.98795,0.88557,0.47506,0.35641,0.36569,0.21117,1.41982,0.99065,0.88756,0.000505,0.000505,0.000505
77,6723.1,1.44728,0.97498,0.88358,0.466,0.36508,0.36625,0.2111,1.41706,0.98934,0.8874,0.0004984,0.0004984,0.0004984
78,6820.58,1.45315,0.9777,0.88271,0.46093,0.36481,0.3656,0.21099,1.41628,0.98849,0.88675,0.0004918,0.0004918,0.0004918
79,6918.83,1.44434,0.97182,0.88393,0.46037,0.36922,0.3672,0.21125,1.41375,0.9859,0.88687,0.0004852,0.0004852,0.0004852
80,7016.04,1.45629,0.98213,0.8833,0.47395,0.364,0.3684,0.21216,1.41401,0.98414,0.88688,0.0004786,0.0004786,0.0004786
81,7113.61,1.4399,0.96899,0.88077,0.47106,0.36512,0.36956,0.21329,1.41412,0.9833,0.88685,0.000472,0.000472,0.000472
82,7209.99,1.44284,0.96952,0.88183,0.46842,0.36565,0.36827,0.21282,1.41301,0.98415,0.88566,0.0004654,0.0004654,0.0004654
83,7337.52,1.44342,0.96745,0.8813,0.46324,0.36625,0.36646,0.21154,1.41457,0.98254,0.88658,0.0004588,0.0004588,0.0004588
84,7436.91,1.44006,0.96707,0.88078,0.46096,0.37136,0.36954,0.21293,1.41208,0.98176,0.88559,0.0004522,0.0004522,0.0004522
85,7537.53,1.44121,0.96359,0.8813,0.46012,0.37374,0.37198,0.21498,1.41286,0.98045,0.88553,0.0004456,0.0004456,0.0004456
86,7637.94,1.43457,0.96463,0.88169,0.4678,0.37095,0.37133,0.21505,1.40798,0.9799,0.8852,0.000439,0.000439,0.000439
87,7737.97,1.43855,0.96205,0.87933,0.46935,0.37292,0.37097,0.21461,1.40781,0.97793,0.88481,0.0004324,0.0004324,0.0004324
88,7839.06,1.43299,0.95784,0.87992,0.48002,0.36386,0.36916,0.21378,1.40688,0.97732,0.88487,0.0004258,0.0004258,0.0004258
89,7938.46,1.43603,0.96085,0.87799,0.47156,0.36881,0.37101,0.21415,1.40672,0.97671,0.88476,0.0004192,0.0004192,0.0004192
90,8040.02,1.43567,0.95598,0.87929,0.46982,0.36987,0.3717,0.21461,1.40687,0.9774,0.88428,0.0004126,0.0004126,0.0004126
91,8140.1,1.42492,0.95233,0.87807,0.47114,0.36935,0.37368,0.21578,1.40406,0.97569,0.88375,0.000406,0.000406,0.000406
92,8241.23,1.43365,0.95289,0.87882,0.46717,0.37554,0.37439,0.21628,1.40317,0.97422,0.88348,0.0003994,0.0003994,0.0003994
93,8347,1.42462,0.94547,0.87698,0.46463,0.37665,0.37486,0.21701,1.4035,0.97268,0.88363,0.0003928,0.0003928,0.0003928
94,8446.69,1.4294,0.94637,0.87951,0.47304,0.37491,0.37539,0.21749,1.40294,0.97354,0.88397,0.0003862,0.0003862,0.0003862
95,8542.57,1.42722,0.94709,0.87788,0.47624,0.37001,0.37617,0.21721,1.40289,0.97377,0.88391,0.0003796,0.0003796,0.0003796
96,8639.01,1.41352,0.93879,0.87642,0.47173,0.37096,0.37475,0.21773,1.40152,0.97333,0.88358,0.000373,0.000373,0.000373
97,8738.3,1.41385,0.94096,0.87634,0.47697,0.37234,0.37496,0.21713,1.4007,0.97327,0.88307,0.0003664,0.0003664,0.0003664
98,8846.71,1.41604,0.93636,0.87685,0.4833,0.36487,0.37464,0.21722,1.40057,0.97464,0.88292,0.0003598,0.0003598,0.0003598
99,8952.57,1.41945,0.93804,0.87485,0.47925,0.37257,0.3762,0.21814,1.39918,0.97333,0.8831,0.0003532,0.0003532,0.0003532
100,9048.39,1.4171,0.93794,0.87607,0.47864,0.37507,0.37792,0.21964,1.39967,0.97232,0.88404,0.0003466,0.0003466,0.0003466
101,9143.5,1.4131,0.93376,0.87714,0.47963,0.37509,0.37813,0.2197,1.39927,0.97212,0.88381,0.00034,0.00034,0.00034
102,9238.31,1.40596,0.93264,0.87472,0.49072,0.3695,0.37835,0.21978,1.39886,0.97239,0.88316,0.0003334,0.0003334,0.0003334
103,9334.27,1.41404,0.93102,0.87592,0.48135,0.37224,0.37914,0.21996,1.3979,0.97159,0.88254,0.0003268,0.0003268,0.0003268
104,9430.05,1.41421,0.92984,0.87548,0.48568,0.36914,0.37902,0.22013,1.39683,0.97152,0.8824,0.0003202,0.0003202,0.0003202
105,9527.27,1.39663,0.9196,0.87291,0.48922,0.3686,0.37951,0.22065,1.3958,0.971,0.88214,0.0003136,0.0003136,0.0003136
106,9624.41,1.39772,0.9186,0.8733,0.48559,0.37281,0.38041,0.22123,1.39566,0.97018,0.88191,0.000307,0.000307,0.000307
107,9719.79,1.39754,0.92068,0.8747,0.4838,0.37373,0.38033,0.22141,1.39666,0.97022,0.88236,0.0003004,0.0003004,0.0003004
108,9814.62,1.40864,0.92562,0.87456,0.48021,0.37663,0.38188,0.22181,1.39655,0.96868,0.88242,0.0002938,0.0002938,0.0002938
109,9911.89,1.41222,0.92672,0.87478,0.48705,0.37353,0.38254,0.22276,1.39559,0.96761,0.88235,0.0002872,0.0002872,0.0002872
110,10001.6,1.40212,0.91714,0.87177,0.49045,0.37332,0.38214,0.22276,1.39567,0.96692,0.88222,0.0002806,0.0002806,0.0002806
111,10082.7,1.40613,0.92264,0.87401,0.48949,0.37234,0.38198,0.22277,1.39617,0.96673,0.88209,0.000274,0.000274,0.000274
112,10164.9,1.39798,0.91458,0.87276,0.48706,0.37341,0.38201,0.22291,1.39656,0.96795,0.88233,0.0002674,0.0002674,0.0002674
113,10246.2,1.39274,0.91249,0.87266,0.48696,0.37431,0.38251,0.22322,1.39524,0.96782,0.88202,0.0002608,0.0002608,0.0002608
114,10327.9,1.40015,0.91467,0.87267,0.48856,0.37466,0.38257,0.22339,1.39469,0.96791,0.88192,0.0002542,0.0002542,0.0002542
115,10416.8,1.39717,0.9138,0.87218,0.48926,0.3745,0.38247,0.22396,1.39512,0.96828,0.88168,0.0002476,0.0002476,0.0002476
116,10499.4,1.38797,0.90832,0.87334,0.49206,0.37349,0.38255,0.22402,1.39508,0.9676,0.88172,0.000241,0.000241,0.000241
117,10581.7,1.39654,0.90775,0.87169,0.49083,0.37132,0.38264,0.2242,1.39481,0.96694,0.88166,0.0002344,0.0002344,0.0002344
118,10662.9,1.38627,0.9047,0.87073,0.49449,0.37158,0.38259,0.22381,1.39516,0.96635,0.8817,0.0002278,0.0002278,0.0002278
119,10745.6,1.39152,0.90592,0.87017,0.49005,0.37324,0.38332,0.22397,1.395,0.9661,0.88167,0.0002212,0.0002212,0.0002212
120,10827.9,1.39761,0.90736,0.8709,0.4912,0.37216,0.38331,0.22501,1.39483,0.96566,0.88165,0.0002146,0.0002146,0.0002146
121,10910,1.39009,0.90264,0.87066,0.49258,0.37138,0.38363,0.22434,1.39473,0.96532,0.88156,0.000208,0.000208,0.000208
122,10992.1,1.38657,0.9009,0.87127,0.48737,0.37174,0.38376,0.22498,1.39459,0.96565,0.88138,0.0002014,0.0002014,0.0002014
123,11075.4,1.38981,0.90231,0.87047,0.48672,0.37287,0.38386,0.22514,1.39412,0.96563,0.88117,0.0001948,0.0001948,0.0001948
124,11158.8,1.38213,0.89629,0.86973,0.49055,0.37225,0.38433,0.22527,1.39401,0.96486,0.88114,0.0001882,0.0001882,0.0001882
125,11241.6,1.38405,0.89858,0.8687,0.48862,0.37278,0.38424,0.22584,1.39388,0.96502,0.881,0.0001816,0.0001816,0.0001816
126,11324.1,1.379,0.89316,0.87004,0.48893,0.37428,0.38486,0.22599,1.3942,0.96527,0.88111,0.000175,0.000175,0.000175
127,11408.4,1.37991,0.8929,0.8687,0.49021,0.37399,0.38513,0.22627,1.39392,0.96549,0.88118,0.0001684,0.0001684,0.0001684
128,11492.8,1.38316,0.89336,0.86935,0.48464,0.37502,0.38512,0.2268,1.39369,0.96528,0.8811,0.0001618,0.0001618,0.0001618
129,11576.9,1.38094,0.89299,0.86944,0.48255,0.37695,0.38533,0.22688,1.39348,0.96519,0.8811,0.0001552,0.0001552,0.0001552
130,11660.7,1.37919,0.8924,0.86926,0.48276,0.37793,0.38621,0.22726,1.39307,0.96529,0.88093,0.0001486,0.0001486,0.0001486
131,11743.6,1.37943,0.8882,0.86915,0.48356,0.37817,0.38175,0.22712,1.39313,0.96544,0.8809,0.000142,0.000142,0.000142
132,11829.6,1.37169,0.88407,0.86689,0.48186,0.37873,0.38673,0.22666,1.39249,0.96531,0.88091,0.0001354,0.0001354,0.0001354
133,11912.3,1.37603,0.88685,0.86781,0.48293,0.37805,0.38531,0.22601,1.39257,0.96537,0.8808,0.0001288,0.0001288,0.0001288
134,11994.2,1.37019,0.88542,0.86898,0.48307,0.37812,0.38494,0.22564,1.39286,0.96556,0.88081,0.0001222,0.0001222,0.0001222
135,12076.4,1.37321,0.88714,0.86772,0.48704,0.37671,0.38478,0.22547,1.39231,0.96548,0.88075,0.0001156,0.0001156,0.0001156
136,12158.1,1.37069,0.88631,0.86765,0.48422,0.37862,0.38408,0.22515,1.39293,0.96555,0.88088,0.000109,0.000109,0.000109
137,12240.1,1.36171,0.87589,0.86669,0.48376,0.37871,0.38357,0.22478,1.39286,0.96575,0.88087,0.0001024,0.0001024,0.0001024
138,12325.1,1.36472,0.87727,0.86763,0.48442,0.37847,0.38314,0.22446,1.39306,0.96582,0.88084,9.58e-05,9.58e-05,9.58e-05
139,12407.9,1.36796,0.87934,0.86792,0.48252,0.37899,0.38274,0.22411,1.39312,0.96597,0.88086,8.92e-05,8.92e-05,8.92e-05
140,12489.1,1.36838,0.87943,0.8682,0.4881,0.3772,0.3825,0.2237,1.39301,0.96578,0.88084,8.26e-05,8.26e-05,8.26e-05
141,12634.6,1.32738,0.85907,0.87044,0.48661,0.37758,0.38227,0.22346,1.39321,0.96644,0.88094,7.6e-05,7.6e-05,7.6e-05
142,12711.9,1.31536,0.84092,0.86779,0.48787,0.37729,0.38185,0.22327,1.39339,0.96681,0.88103,6.94e-05,6.94e-05,6.94e-05
143,12789.2,1.31066,0.83514,0.86789,0.48901,0.37696,0.38181,0.22292,1.39404,0.96714,0.88099,6.28e-05,6.28e-05,6.28e-05
144,12866.3,1.31085,0.83574,0.8669,0.48509,0.37727,0.38149,0.22237,1.39421,0.9671,0.88097,5.62e-05,5.62e-05,5.62e-05
145,12944,1.30802,0.83355,0.86767,0.48492,0.3776,0.38124,0.22197,1.39434,0.96725,0.88103,4.96e-05,4.96e-05,4.96e-05
146,13020.5,1.3043,0.82795,0.86613,0.48315,0.3782,0.3806,0.22154,1.39462,0.96786,0.88108,4.3e-05,4.3e-05,4.3e-05
147,13097.2,1.30667,0.82985,0.86508,0.48427,0.37897,0.37997,0.22098,1.39482,0.96811,0.88116,3.64e-05,3.64e-05,3.64e-05
148,13174.3,1.30355,0.82557,0.86596,0.48341,0.3781,0.37966,0.22068,1.3947,0.96809,0.88107,2.98e-05,2.98e-05,2.98e-05
149,13251.7,1.30694,0.82524,0.86665,0.48315,0.37761,0.37936,0.22035,1.39507,0.96821,0.88112,2.32e-05,2.32e-05,2.32e-05
150,13328.9,1.29864,0.82128,0.86504,0.47933,0.3783,0.37965,0.22042,1.39541,0.96847,0.88115,1.66e-05,1.66e-05,1.66e-05
