epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2711.33,1.51425,1.05792,0.93207,0.43701,0.33571,0.31268,0.17792,1.44995,1.0334,0.9224,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2790.96,1.51336,1.05675,0.9314,0.42439,0.34582,0.32093,0.1823,1.44127,1.02515,0.91984,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2886.2,1.49827,1.04398,0.92908,0.44868,0.33848,0.3255,0.18298,1.44034,1.01852,0.9214,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2966.54,1.49683,1.04379,0.9282,0.45627,0.33819,0.32657,0.18375,1.43629,1.01507,0.92015,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3046.89,1.50234,1.03939,0.92412,0.4446,0.34544,0.32482,0.18483,1.43597,1.01768,0.91817,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3127.34,1.49068,1.03076,0.92362,0.46005,0.34074,0.32806,0.18469,1.43632,1.01454,0.91923,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3207.81,1.49425,1.03435,0.92543,0.44454,0.33793,0.32481,0.18662,1.4362,1.01373,0.91855,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3287.92,1.48799,1.02497,0.92275,0.43861,0.3527,0.33048,0.19014,1.42849,1.00734,0.91643,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3368.73,1.47556,1.01139,0.91946,0.44923,0.34615,0.33217,0.19006,1.4303,1.0081,0.91635,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3449.31,1.46914,1.00837,0.92084,0.45104,0.34483,0.33504,0.19208,1.42627,1.00411,0.91535,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3529.65,1.47609,1.01454,0.91961,0.45402,0.34554,0.33713,0.19392,1.42386,0.99926,0.91444,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3610.62,1.46694,1.00292,0.91755,0.4592,0.35419,0.33979,0.19434,1.42381,0.99936,0.91496,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3692.23,1.46856,1.00077,0.91628,0.46327,0.34653,0.33994,0.19567,1.41787,0.99403,0.91352,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3772.98,1.46578,1.00095,0.91563,0.46191,0.34945,0.3344,0.19421,1.41574,0.99898,0.91415,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3853.95,1.45728,0.9954,0.91637,0.46417,0.35395,0.34491,0.19563,1.41306,0.99214,0.91207,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3934.46,1.45124,0.9886,0.91307,0.46393,0.35423,0.34185,0.19778,1.41438,0.99022,0.91148,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4015.44,1.45356,0.98723,0.91051,0.45443,0.358,0.34701,0.19932,1.41119,0.99112,0.91087,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4095.79,1.44114,0.97845,0.91386,0.46039,0.36111,0.34973,0.20112,1.40662,0.98461,0.91035,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4176.91,1.4433,0.97621,0.91221,0.4634,0.35769,0.35378,0.20218,1.4071,0.98509,0.91052,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4258.16,1.44962,0.97954,0.91067,0.46627,0.35934,0.35479,0.20368,1.40283,0.98114,0.90931,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4338.66,1.43819,0.97351,0.90888,0.46109,0.35829,0.34949,0.20013,1.40092,0.9806,0.90708,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4418.61,1.43606,0.96732,0.90809,0.46816,0.35609,0.35231,0.20333,1.40281,0.98025,0.9074,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4498.76,1.4311,0.96435,0.91007,0.45191,0.36423,0.35438,0.20428,1.39553,0.9771,0.90653,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4578.62,1.429,0.9587,0.90739,0.46707,0.35666,0.35319,0.20341,1.39524,0.97572,0.90675,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4658.33,1.43122,0.96159,0.90675,0.47016,0.35811,0.35407,0.20487,1.39358,0.97553,0.90732,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4738.54,1.42582,0.95166,0.90583,0.46275,0.36073,0.353,0.20458,1.39479,0.97495,0.90666,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4818.64,1.4177,0.94838,0.90524,0.47264,0.36084,0.35687,0.20633,1.39087,0.97019,0.90615,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4898.46,1.41522,0.94719,0.90516,0.46338,0.36583,0.35783,0.20764,1.39323,0.97395,0.90636,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4977.99,1.4199,0.94756,0.90423,0.46505,0.36636,0.3584,0.20704,1.39084,0.96973,0.90561,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5057.89,1.42402,0.94689,0.90277,0.46693,0.36997,0.35987,0.20649,1.38981,0.97061,0.90493,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5138.4,1.41302,0.93902,0.89978,0.46736,0.36249,0.36032,0.20919,1.38728,0.97028,0.90504,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5218.55,1.4143,0.93639,0.89984,0.45974,0.36503,0.36283,0.20938,1.38938,0.97115,0.9052,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5298.5,1.41328,0.93458,0.90203,0.47846,0.36027,0.36154,0.20959,1.38699,0.96781,0.90447,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5378.95,1.41189,0.93312,0.90205,0.47415,0.36103,0.36564,0.21166,1.38456,0.96654,0.90404,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5459.85,1.39908,0.92319,0.89985,0.47229,0.36463,0.36565,0.21182,1.38648,0.96646,0.90449,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5539.55,1.4054,0.92919,0.90062,0.47087,0.36337,0.36653,0.21233,1.38459,0.96725,0.90363,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5619.78,1.39632,0.91783,0.89719,0.46828,0.36723,0.36916,0.21432,1.38194,0.96321,0.90286,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5699.42,1.39376,0.91747,0.89949,0.47892,0.36423,0.36734,0.21238,1.3839,0.96288,0.90344,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5779.73,1.39046,0.91358,0.89659,0.47731,0.365,0.36666,0.21095,1.37984,0.96267,0.90201,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5860.12,1.39311,0.91558,0.8969,0.47861,0.36198,0.36567,0.21332,1.38067,0.96447,0.90166,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5940.49,1.38653,0.91163,0.89538,0.48586,0.36241,0.36954,0.21498,1.38087,0.9619,0.90151,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6021.64,1.38138,0.90597,0.89545,0.48576,0.36244,0.36946,0.21463,1.38036,0.96335,0.90147,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6101.95,1.38388,0.90361,0.89115,0.48376,0.36695,0.37183,0.21558,1.38077,0.96123,0.90105,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6181.97,1.37757,0.90032,0.89424,0.49155,0.36165,0.37124,0.21436,1.37992,0.95827,0.90099,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6261.96,1.38932,0.90316,0.89389,0.48578,0.36615,0.37189,0.21889,1.38104,0.95786,0.901,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6341.95,1.37361,0.89208,0.89261,0.49316,0.36404,0.37577,0.22285,1.37963,0.95689,0.90086,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6421.75,1.37929,0.89347,0.89123,0.48638,0.36433,0.37356,0.22349,1.37876,0.95634,0.90073,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6501.44,1.37014,0.88777,0.8926,0.48003,0.36882,0.37515,0.22259,1.37676,0.95689,0.90023,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6581.59,1.38062,0.89615,0.89164,0.47947,0.36644,0.37372,0.22109,1.37619,0.95519,0.90029,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6661.65,1.36468,0.88293,0.88911,0.49087,0.36312,0.37286,0.22314,1.37463,0.95426,0.90019,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6742.27,1.36419,0.88093,0.88952,0.47746,0.36965,0.37559,0.22347,1.37114,0.95634,0.89918,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6827.65,1.368,0.88036,0.88935,0.47619,0.36901,0.37318,0.22302,1.37431,0.95915,0.89965,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
