epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2713.56,1.50945,1.05507,0.93545,0.43839,0.33997,0.33799,0.1921,1.43988,1.02914,0.92365,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2794.99,1.50934,1.05221,0.93495,0.45416,0.34257,0.34355,0.19659,1.43657,1.02247,0.92069,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,3124.52,1.49414,1.04068,0.93335,0.45452,0.34477,0.34706,0.19752,1.43461,1.01308,0.9223,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,3466.84,1.49188,1.04042,0.93181,0.46034,0.3414,0.34737,0.19839,1.42653,1.01155,0.91982,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3562.26,1.49878,1.03688,0.92794,0.45354,0.34948,0.34791,0.19763,1.43122,1.0146,0.9199,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3657.01,1.48623,1.02642,0.92709,0.45058,0.34369,0.34758,0.19845,1.42061,1.00736,0.91883,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3774.58,1.48904,1.02922,0.92881,0.46691,0.33989,0.34664,0.19994,1.42179,1.00679,0.91881,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3900.55,1.48468,1.02253,0.927,0.44999,0.34611,0.35207,0.20189,1.41468,1.00007,0.91624,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,4034.07,1.47095,1.00899,0.92362,0.46635,0.34403,0.3516,0.20163,1.41619,1.0019,0.91759,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,4157.25,1.46527,1.00489,0.9252,0.45498,0.35378,0.35599,0.20439,1.41436,0.99907,0.91716,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,4251.09,1.47404,1.01271,0.92451,0.46316,0.34566,0.35545,0.20485,1.41099,0.99223,0.91832,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,4345.09,1.46497,1.0019,0.92239,0.47062,0.35241,0.35753,0.20552,1.40818,0.98951,0.91512,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,4438.39,1.46603,0.99983,0.92123,0.46879,0.3513,0.35886,0.20721,1.40369,0.989,0.91382,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,4532.04,1.46431,0.99917,0.91998,0.46153,0.34894,0.35345,0.20515,1.40708,0.98946,0.91492,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,4625.7,1.45268,0.9914,0.92105,0.47728,0.35452,0.36039,0.20679,1.40185,0.98577,0.9129,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,4718.49,1.44872,0.98708,0.91823,0.46757,0.35388,0.35939,0.20837,1.4048,0.9848,0.91346,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,4811.86,1.4519,0.98538,0.91562,0.4736,0.35608,0.36409,0.20951,1.39742,0.97733,0.91114,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4905.5,1.43871,0.97629,0.91905,0.47922,0.35176,0.36532,0.21091,1.39837,0.98052,0.91132,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4999.32,1.4419,0.97579,0.91805,0.47379,0.36075,0.36688,0.21106,1.39602,0.97736,0.9119,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,5092.77,1.44893,0.97929,0.91575,0.4716,0.36678,0.36742,0.21335,1.3952,0.97127,0.91056,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,5186.42,1.43841,0.97408,0.9143,0.46264,0.35763,0.36275,0.20928,1.3933,0.97655,0.91085,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,5280.08,1.43633,0.96916,0.91427,0.47507,0.3613,0.36744,0.2117,1.39269,0.97186,0.91011,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,5373.55,1.43112,0.96444,0.91555,0.47448,0.35814,0.36702,0.21339,1.39049,0.97223,0.90944,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,5466.13,1.43015,0.95975,0.91288,0.47064,0.35735,0.36461,0.2109,1.39438,0.97292,0.9093,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,5559.86,1.43318,0.96548,0.91194,0.4818,0.35521,0.36523,0.21226,1.38921,0.97295,0.90823,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,5653.27,1.42738,0.95399,0.91126,0.46685,0.36095,0.36622,0.213,1.39098,0.97271,0.90862,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,5747.24,1.41922,0.95155,0.91018,0.47389,0.36286,0.3684,0.21461,1.38997,0.96887,0.90883,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,5840.55,1.41766,0.94909,0.91087,0.47342,0.3632,0.36954,0.21428,1.39071,0.96689,0.90859,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,5934.28,1.42214,0.95113,0.90923,0.479,0.36357,0.36997,0.21412,1.38914,0.96841,0.90798,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,6028.58,1.42721,0.94989,0.90865,0.478,0.36496,0.37027,0.21414,1.38886,0.97089,0.90698,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,6121.73,1.4186,0.94408,0.90558,0.48684,0.36261,0.36953,0.21512,1.38578,0.96616,0.90749,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,6215.63,1.41945,0.94181,0.90546,0.48216,0.36072,0.37164,0.21581,1.38817,0.96617,0.90669,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,6309.28,1.41841,0.93761,0.90787,0.47323,0.36824,0.37132,0.21674,1.38432,0.96458,0.90582,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,6402.33,1.4181,0.93986,0.90817,0.48562,0.36582,0.37358,0.21797,1.38704,0.96467,0.90633,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,6495.58,1.40312,0.92722,0.90519,0.47992,0.37579,0.3742,0.21741,1.38449,0.961,0.90463,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,6589.01,1.40995,0.93391,0.90598,0.47863,0.36718,0.37427,0.21801,1.38332,0.96237,0.90409,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,6682.99,1.40135,0.92341,0.90178,0.4856,0.36675,0.37833,0.21982,1.38208,0.96025,0.90377,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,6776.87,1.40051,0.92464,0.90507,0.48274,0.36886,0.37545,0.2185,1.3817,0.9631,0.90355,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,6870.18,1.39698,0.92011,0.90166,0.49438,0.35985,0.37424,0.21746,1.38093,0.96265,0.90323,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
