threshold,retained_edges,clusters,ari,nmi,incorrect_rate
0.1,14244,2257,0.8693188601724724,0.9882323732262523,0.12336573918873617
0.2,13058,2331,0.8664297488208166,0.9875403129137884,0.11930434782608695
0.3,10872,2565,0.8434529017325773,0.9837163090988392,0.109765625
0.4,7942,2956,0.7923638692813479,0.9753509810383838,0.10801393728222997
0.5,4963,3400,0.6875840876935341,0.9652788699832576,0.09008379888268156
0.6,2591,3821,0.5223984655033563,0.9552570281576751,0.08156028368794327
0.7,1028,4139,0.2701430304691498,0.9466331103111433,0.05747126436781609
