"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-4.02145502822557
1.55,-4.40344222905761
1.6,-4.81983190582198
1.65,-5.26895342950551
1.7,-5.74959567889849
1.75,-6.26102847788351
1.8,-6.80299092300954
1.85,-7.37564710766816
1.9,-7.97950419085902
1.95,-8.61527957136829
2,-9.28369232922514
2.05,-9.98513807630757
2.1,-10.719185477839
2.15,-11.4838091668124
2.2,-12.2742569144718
2.25,-13.081463112871
2.3,-13.8900145355877
2.35,-14.6759206580799
2.4,-15.4049030755718
2.45,-16.032562995238
2.5,-16.5083314094528
2.55,-16.7847815877449
2.6,-16.8313490428126
2.65,-16.6465864244753
2.7,-16.2604311351089
2.75,-15.7237393058929
2.8,-15.0921563983719
2.85,-14.4137554573746
2.9,-13.7240649739678
2.95,-13.0465986197357
3,-12.3957353241155
3.05,-11.7799300976364
3.1,-11.2045387567905
3.15,-10.6743333864325
3.2,-10.196227090748
3.25,-9.78307928691628
3.3,-9.45960370268813
3.35,-9.26934491427463
3.4,-9.26827333282601
3.45,-9.4527759319807
3.5,-9.61257376798431
3.55,-9.45216488564384
3.6,-8.99475966059697
3.65,-8.45319278398092
3.7,-7.9483813788701
3.75,-7.50879120843615
3.8,-7.12992171853914
3.85,-6.8011106543156
3.9,-6.5129042525738
3.95,-6.25822894435704
4,-6.03207474600903
4.05,-5.83098590219964
4.1,-5.65264593856296
4.15,-5.4955848820468
4.2,-5.35898257580088
4.25,-5.24253917665158
4.3,-5.14639090078556
4.35,-5.07105594081597
4.4,-5.0174004922741
4.45,-4.98661820995477
4.5,-4.98021867291036
4.55,-5.00002200898458
4.6,-5.04815803959774
4.65,-5.12706938989643
4.7,-5.23951914937484
4.75,-5.38860501286271
4.8,-5.57778351834425
4.85,-5.81091017460841
4.9,-6.09230413749787
4.95,-6.42684997455992
5,-6.82015455038968
5.05,-7.27878530469425
5.1,-7.81062937365511
5.15,-8.42543540500111
5.2,-9.13564012314527
5.25,-9.95765766573076
5.3,-10.9139612475511
5.35,-12.0366088694534
5.4,-13.3736060598667
5.45,-15.001385514901
5.5,-17.0521666182326
5.55,-19.7840367511603
5.6,-23.8072834818094
5.65,-31.0807576735913
5.7,-33.7440539756734
5.75,-25.0899214959295
5.8,-20.5738925576185
5.85,-17.6146554482238
5.9,-15.4341023666151
5.95,-13.723235654625
6,-12.3298729133628
6.05,-11.1685348510462
6.1,-10.1868321349545
6.15,-9.35058501877013
6.2,-8.63637626912214
6.25,-8.02745992604223
6.3,-7.51134436049115
6.35,-7.07828432999811
6.4,-6.72030622795843
6.45,-6.43056948844334
6.5,-6.20295336852603
