"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-6.1303070337546
1.55,-6.74175923555332
1.6,-7.41347902951946
1.65,-8.15033645696585
1.7,-8.95606189157719
1.75,-9.83340889491705
1.8,-10.7845056178999
1.85,-11.8113564802418
1.9,-12.916442134997
1.95,-14.1033737874848
2,-15.3775833256031
2.05,-16.747064615827
2.1,-18.2232139611792
2.15,-19.8218347529588
2.2,-21.5643301187198
2.25,-23.4788456349307
2.3,-25.6000043946147
2.35,-27.9613446079612
2.4,-30.55666466874
2.45,-33.1880170726916
2.5,-35.1045302846972
2.55,-35.2562159363611
2.6,-33.9536028548649
2.65,-32.2388135549358
2.7,-30.5576162648957
2.75,-28.9706666702358
2.8,-27.4472497017302
2.85,-25.9591848440544
2.9,-24.4985388178456
2.95,-23.0732261191635
3,-21.6982604853746
3.05,-20.3889381775223
3.1,-19.1572813668916
3.15,-18.0109643201574
3.2,-16.9535742925705
3.25,-15.9853937293229
3.3,-15.1042877197718
3.35,-14.3065350932216
3.4,-13.5875636434437
3.45,-12.9425986626664
3.5,-12.3672549741662
3.55,-11.858121720783
3.6,-11.413421760243
3.65,-11.0338918968643
3.7,-10.7241661751766
3.75,-10.4952559316848
3.8,-10.3695032343957
3.85,-10.3915814882202
3.9,-10.656214318066
3.95,-11.3911431513155
4,-13.282542749412
4.05,-19.7873777236631
4.1,-17.8329583072738
4.15,-7.92231546122924
4.2,-5.45703523466467
4.25,-4.90971891633777
4.3,-4.81637524241782
4.35,-4.8445503319143
4.4,-4.92112594058365
4.45,-5.03254873591795
4.5,-5.17983354869496
4.55,-5.36719661322934
4.6,-5.59888686989455
4.65,-5.87829488274799
4.7,-6.20779197766248
4.75,-6.58885222410408
4.8,-7.02230937351114
4.85,-7.50868545271708
4.9,-8.04855370455266
4.95,-8.64291068496612
5,-9.29354213100109
5.05,-10.0033752428439
5.1,-10.7768124209671
5.15,-11.620030377973
5.2,-12.5411866719982
5.25,-13.550360747535
5.3,-14.6587601716607
5.35,-15.8759693381362
5.4,-17.2021559274046
5.45,-18.6080603013951
5.5,-19.9903447708669
5.55,-21.1045984076289
5.6,-21.5811283166369
5.65,-21.2090384335209
5.7,-20.1922622082681
5.75,-18.9074013029642
5.8,-17.6105392339929
5.85,-16.4141156436885
5.9,-15.3535473646388
5.95,-14.4327396257415
6,-13.6445086517477
6.05,-12.9784495783484
6.1,-12.4236604860754
6.15,-11.9695400769344
6.2,-11.6059411919294
6.25,-11.3231659974504
6.3,-11.1119664298006
6.35,-10.9635844245027
6.4,-10.8698193277604
6.45,-10.8230989034532
6.5,-10.8165345584984
