"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-1.53053269703934
1.55,-1.82588198682608
1.6,-2.16844523789282
1.65,-2.56520114024704
1.7,-3.02380387905428
1.75,-3.5519758380831
1.8,-4.15670272372313
1.85,-4.84334743858899
1.9,-5.61486409620176
1.95,-6.47130313498623
2,-7.4097275614431
2.05,-8.42452924242091
2.1,-9.50800422979595
2.15,-10.6509805292977
2.2,-11.8433158534563
2.25,-13.0741783430385
2.3,-14.3321511604114
2.35,-15.6053213503928
2.4,-16.8815695184651
2.45,-18.1491641972939
2.5,-19.3973062848943
2.55,-20.6152723556631
2.6,-21.7872406970698
2.65,-22.8783348782688
2.7,-23.8089310941912
2.75,-24.4293730787856
2.8,-24.5465075120636
2.85,-24.0516522095749
2.9,-23.0353230028187
2.95,-21.715898151232
3,-20.291303684979
3.05,-18.8811300725558
3.1,-17.5419020532949
3.15,-16.2945117671741
3.2,-15.1427304250708
3.25,-14.083044768339
3.3,-13.109406909948
3.35,-12.2153644301231
3.4,-11.3948690941114
3.45,-10.6424160742542
3.5,-9.95287541199764
3.55,-9.32125793785942
3.6,-8.74258384584371
3.65,-8.21193110938808
3.7,-7.7246363480863
3.75,-7.27654781473419
3.8,-6.86422285471888
3.85,-6.48500899394602
3.9,-6.13700718290478
3.95,-5.81895382936806
4,-5.5300673325803
4.05,-5.26989525042153
4.1,-5.03818323136217
4.15,-4.83477437295266
4.2,-4.65954000142542
4.25,-4.51233922380084
4.3,-4.39300342000521
4.35,-4.30134184320848
4.4,-4.23716493468895
4.45,-4.2003225003959
4.5,-4.19075443564432
4.55,-4.20855220465143
4.6,-4.25402976351496
4.65,-4.32780298532355
4.7,-4.43087673673361
4.75,-4.56473824854943
4.8,-4.73145374407037
4.85,-4.93376139934548
4.9,-5.17514570818555
4.95,-5.45986270711801
5,-5.79285583664525
5.05,-6.17944686792433
5.1,-6.62458561000533
5.15,-7.13126771529074
5.2,-7.69746217498114
5.25,-8.3106098916168
5.3,-8.93896320680221
5.35,-9.5213643716945
5.4,-9.96427958591338
5.45,-10.1644612467017
5.5,-10.0650458793771
5.55,-9.70515851250216
5.6,-9.20733310332782
5.65,-8.71927896480542
5.7,-8.36958699029398
5.75,-8.25518581786811
5.8,-8.44320594322632
5.85,-8.97282959975972
5.9,-9.85432614058937
5.95,-11.0655579762038
6,-12.5391743382864
6.05,-14.1227128198306
6.1,-15.5076228934112
6.15,-16.248604517357
6.2,-16.0986319470373
6.25,-15.2858568553489
6.3,-14.203186811584
6.35,-13.0940333739808
6.4,-12.0507896629943
6.45,-11.0921832273206
6.5,-10.2100017066777
