"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-5.9640261815243
1.55,-6.58836235248744
1.6,-7.2749853972123
1.65,-8.02790926435532
1.7,-8.85114125851739
1.75,-9.74887213434456
1.8,-10.725728537958
1.85,-11.787079996141
1.9,-12.9393901082383
1.95,-14.1905976243453
2,-15.5505013376422
2.05,-17.0310891412736
2.1,-18.646664777672
2.15,-20.4134140374438
2.2,-22.3475555508307
2.25,-24.4601258975231
2.3,-26.7444142256862
2.35,-29.1503807907266
2.4,-31.5496351894987
2.45,-33.7432329953021
2.5,-35.6177645939828
2.55,-37.3693479807129
2.6,-39.4520033136991
2.65,-41.8616169579389
2.7,-41.3626763750096
2.75,-36.9126579995213
2.8,-32.5947453248968
2.85,-29.109189258676
2.9,-26.2627254923309
2.95,-23.8781665200496
3,-21.8389727108534
3.05,-20.0681259565687
3.1,-18.5124839659092
3.15,-17.1337065315705
3.2,-15.9030222601554
3.25,-14.7981151718314
3.3,-13.8012059410372
3.35,-12.8978299016489
3.4,-12.0760351059339
3.45,-11.3258408960956
3.5,-10.6388619414609
3.55,-10.0080395980978
3.6,-9.42744426956224
3.65,-8.89212565886725
3.7,-8.39799590222379
3.75,-7.94173554798165
3.8,-7.52071536610856
3.85,-7.13292877325294
3.9,-6.77693070753807
3.95,-6.45177940711491
4,-6.15697797062023
4.05,-5.8924129868439
4.1,-5.65828805896167
4.15,-5.45505082212182
4.2,-5.28331311746235
4.25,-5.14376532383864
4.3,-5.03708735172757
4.35,-4.96386026665201
4.4,-4.92448365446702
4.45,-4.919104376646
4.5,-4.94756206965036
4.55,-5.00935555327449
4.6,-5.10363236841251
4.65,-5.22920129657392
4.7,-5.3845653640464
4.75,-5.56797093417084
4.8,-5.77746734557802
4.85,-6.01097127101562
4.9,-6.26633046411469
4.95,-6.54138260585228
5,-6.8340062798556
5.05,-7.14216243920842
5.1,-7.46392589027429
5.15,-7.79750720990523
5.2,-8.14126610552669
5.25,-8.49371755007613
5.3,-8.85353213079252
5.35,-9.21953200558973
5.4,-9.590683721394
5.45,-9.96608896218154
5.5,-10.3449740942636
5.55,-10.7266791844875
5.6,-11.1106469958156
5.65,-11.4964123197147
5.7,-11.8835918869142
5.75,-12.2718750056593
5.8,-12.6610150065024
5.85,-13.0508215213274
5.9,-13.4411535881241
5.95,-13.8319135487348
6,-14.2230416915884
6.05,-14.6145115829698
6.1,-15.0063260267685
6.15,-15.3985135924582
6.2,-15.7911256531348
6.25,-16.1842338789629
6.3,-16.5779281357281
6.35,-16.9723147429288
6.4,-17.3675150506618
6.45,-17.7636642992537
6.5,-18.1609107300414
