"Freq [GHz]","dB(S(P1,P1)) []"
1.5,-3.39204851994983
1.55,-3.69645218698579
1.6,-4.02285605161443
1.65,-4.36948608828282
1.7,-4.73602147447089
1.75,-5.12308660873559
1.8,-5.53175020009813
1.85,-5.9630595859829
1.9,-6.41763691205768
1.95,-6.89536259742846
2,-7.39516563285303
2.05,-7.91492827812824
2.1,-8.45149694932424
2.15,-9.00077621629784
2.2,-9.55787354637665
2.25,-10.1172612336793
2.3,-10.6729283912754
2.35,-11.2185073026529
2.4,-11.7473714827108
2.45,-12.2527146952735
2.5,-12.7276291416382
2.55,-13.1652060845584
2.6,-13.5586826084354
2.65,-13.9016533562518
2.7,-14.1883554726524
2.75,-14.4140190851043
2.8,-14.5752566112168
2.85,-14.6704459142996
2.9,-14.7000494354552
2.95,-14.6668071479837
3,-14.5757460046735
3.05,-14.4339612984607
3.1,-14.2501465714463
3.15,-14.0338828859545
3.2,-13.794750017714
3.25,-13.5413855719151
3.3,-13.2806682769322
3.35,-13.017202567176
3.4,-12.7532124863103
3.45,-12.4888343792732
3.5,-12.2226854378404
3.55,-11.9525315007345
3.6,-11.6758963119348
3.65,-11.3905190606807
3.7,-11.0946374071593
3.75,-10.7871221578528
3.8,-10.4675107103363
3.85,-10.135986297658
3.9,-9.79333940141124
3.95,-9.44093446970456
4,-9.08069335331309
4.05,-8.71509775454619
4.1,-8.34720599936635
4.15,-7.98067366518742
4.2,-7.61976232819099
4.25,-7.26931591061404
4.3,-6.93468076830361
4.35,-6.62154583248123
4.4,-6.33568567491298
4.45,-6.08260483254216
4.5,-5.86710622737529
4.55,-5.69283548406869
4.6,-5.56187649821656
4.65,-5.47447961124403
4.7,-5.42898451689658
4.75,-5.42195876304391
4.8,-5.44852407320836
4.85,-5.50280549168705
4.9,-5.57842510380168
4.95,-5.66897328052476
5,-5.76841661882805
5.05,-5.871430588166
5.1,-5.97366699149506
5.15,-6.07197746938489
5.2,-6.1646140497906
5.25,-6.25141737510375
5.3,-6.33398401596135
5.35,-6.41577781030361
5.4,-6.50212041090379
5.45,-6.59997279858473
5.5,-6.71741996095376
5.55,-6.86281715778663
5.6,-7.0436597245669
5.65,-7.2653769736151
5.7,-7.5303569173664
5.75,-7.83749910474767
5.8,-8.18243750109548
5.85,-8.55834276146292
5.9,-8.95703142323996
5.95,-9.37006663751641
6,-9.78962086629403
6.05,-10.209008055431
6.1,-10.6229066867941
6.15,-11.0273542678356
6.2,-11.4196046700615
6.25,-11.7979235353694
6.3,-12.1613725251005
6.35,-12.5096111272175
6.4,-12.8427288137106
6.45,-13.1611104924677
6.5,-13.4653329507862
