epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
71,1183.96,0.28739,0.57058,0.97927,1.72375,4.76796e-05,4.76796e-05,4.76796e-05
72,1200.54,0.28256,0.57848,0.98026,1.7287,4.05953e-05,4.05953e-05,4.05953e-05
73,1216.57,0.26963,0.57058,0.97927,1.73157,3.4227e-05,3.4227e-05,3.4227e-05
74,1232.85,0.26634,0.56861,0.97927,1.72339,2.85847e-05,2.85847e-05,2.85847e-05
75,1249.13,0.2417,0.57256,0.97828,1.72656,2.36769e-05,2.36769e-05,2.36769e-05
76,1265.02,0.2576,0.57157,0.98026,1.73169,1.95113e-05,1.95113e-05,1.95113e-05
77,1281.18,0.28105,0.57157,0.98124,1.73279,1.60943e-05,1.60943e-05,1.60943e-05
78,1297.52,0.24731,0.57749,0.98124,1.73364,1.34311e-05,1.34311e-05,1.34311e-05
79,1313.87,0.25628,0.57749,0.98223,1.72998,1.15259e-05,1.15259e-05,1.15259e-05
80,1330.06,0.26251,0.57947,0.98026,1.72485,1.03816e-05,1.03816e-05,1.03816e-05
