epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2670.11,1.38639,0.89957,0.87942,0.50298,0.3794,0.38884,0.22798,1.36464,0.94462,0.88574,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2752.25,1.38097,0.89627,0.88079,0.49184,0.38059,0.3877,0.22778,1.35381,0.94063,0.88351,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2835.61,1.36405,0.87888,0.87814,0.49948,0.38082,0.3927,0.23121,1.34823,0.93537,0.88371,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2918.5,1.37085,0.8872,0.87751,0.49206,0.38452,0.39258,0.23113,1.35211,0.94177,0.88311,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,3001.33,1.36567,0.87594,0.87517,0.50372,0.387,0.39439,0.23191,1.35053,0.93572,0.88279,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3086.57,1.36472,0.87239,0.87556,0.50787,0.38038,0.39451,0.2306,1.34894,0.9358,0.8828,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3171.51,1.36114,0.87214,0.87539,0.50208,0.38663,0.39846,0.23505,1.3459,0.93103,0.88056,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3254.55,1.35939,0.86985,0.87504,0.48735,0.39312,0.39606,0.23214,1.34337,0.93527,0.88128,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3337.63,1.3483,0.86021,0.87352,0.50175,0.37997,0.3948,0.23262,1.34627,0.93919,0.88074,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3419.01,1.34308,0.8575,0.87337,0.51344,0.37453,0.38934,0.22918,1.3455,0.93684,0.88155,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3500.86,1.3491,0.86046,0.87389,0.48964,0.38542,0.39518,0.23175,1.33993,0.93269,0.88023,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3582.99,1.33861,0.8502,0.87263,0.51427,0.38392,0.39785,0.2343,1.34398,0.92683,0.88095,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3665.11,1.33922,0.84501,0.87187,0.50727,0.38606,0.3942,0.23178,1.33966,0.93425,0.87887,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3747.03,1.33874,0.84171,0.87043,0.5139,0.38781,0.39708,0.23395,1.34295,0.93121,0.87959,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,3829.54,1.33103,0.83852,0.87065,0.50811,0.38908,0.40186,0.23715,1.33071,0.92425,0.87873,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,3911.83,1.32712,0.83476,0.86937,0.50964,0.3941,0.40112,0.23683,1.33333,0.92335,0.87865,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,3993.54,1.33634,0.83768,0.86747,0.51534,0.38773,0.40311,0.23686,1.33298,0.92625,0.87772,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,4076.07,1.3295,0.8294,0.86774,0.51677,0.38887,0.40492,0.23769,1.33549,0.92519,0.87847,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,4157.68,1.32399,0.82473,0.86732,0.52556,0.38895,0.40553,0.23751,1.33414,0.92201,0.87791,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,4239.56,1.3213,0.82252,0.8668,0.5007,0.39195,0.39841,0.23469,1.33328,0.93042,0.87781,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,4322.1,1.31285,0.81669,0.86555,0.51261,0.39245,0.40432,0.2384,1.3288,0.92367,0.87694,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,4403.66,1.3161,0.81667,0.8659,0.51475,0.39423,0.4071,0.23936,1.33075,0.92082,0.87814,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,4485.47,1.31341,0.81018,0.86457,0.51674,0.39075,0.40565,0.23858,1.32617,0.91792,0.87638,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,4565.5,1.31357,0.81275,0.86559,0.51824,0.38979,0.40419,0.23942,1.32918,0.91887,0.87767,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,4647.1,1.31035,0.80824,0.86401,0.50818,0.39639,0.40548,0.23861,1.32938,0.92029,0.87736,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,4729.03,1.30545,0.80216,0.86368,0.51696,0.38866,0.40632,0.23893,1.33003,0.91671,0.87739,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,4810.52,1.30749,0.80198,0.86327,0.50178,0.39722,0.40415,0.24071,1.33032,0.91717,0.87637,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,4887.85,1.30927,0.80217,0.86313,0.52063,0.39574,0.40576,0.24204,1.32744,0.92137,0.87751,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,4964.23,1.30153,0.79725,0.86265,0.5201,0.39616,0.40674,0.24256,1.32607,0.91613,0.87745,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,5042.44,1.31196,0.80037,0.86243,0.52886,0.39627,0.41016,0.24274,1.32607,0.9206,0.87678,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,5118.81,1.30068,0.79239,0.86036,0.51699,0.39916,0.41316,0.24327,1.32591,0.91965,0.8769,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,5194.68,1.28699,0.78593,0.86177,0.51571,0.40092,0.41074,0.24156,1.32979,0.91898,0.87704,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,5271.05,1.29385,0.78479,0.86148,0.51736,0.39721,0.40873,0.24179,1.3258,0.91921,0.87725,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,5347.06,1.29659,0.78667,0.86082,0.51734,0.40037,0.40765,0.24226,1.32074,0.91774,0.87536,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,5423.46,1.28566,0.77881,0.86129,0.5083,0.39754,0.40731,0.24156,1.32199,0.92218,0.87487,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5499.63,1.28039,0.77446,0.85905,0.51073,0.40646,0.40665,0.24296,1.32035,0.92013,0.87447,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5576.23,1.27753,0.77179,0.85833,0.5125,0.39662,0.40841,0.24114,1.32383,0.9188,0.8756,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5652.27,1.27643,0.76934,0.85788,0.51259,0.39932,0.40601,0.24021,1.32195,0.91877,0.87552,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5728.34,1.27463,0.76582,0.85771,0.5041,0.40503,0.40765,0.24147,1.32231,0.92034,0.87539,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,5805.51,1.27754,0.76806,0.85682,0.52388,0.39959,0.40566,0.24055,1.32114,0.92209,0.87512,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,5882.04,1.27191,0.75998,0.85493,0.51469,0.40233,0.4084,0.24212,1.31823,0.9223,0.87468,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,5958.53,1.27527,0.76051,0.85699,0.50021,0.40606,0.40482,0.24166,1.31989,0.92487,0.87488,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,6036.13,1.26924,0.75755,0.85636,0.5103,0.40413,0.40672,0.24034,1.32022,0.92243,0.87543,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,6121.73,1.27065,0.7561,0.85481,0.51292,0.40243,0.40683,0.2405,1.32091,0.92081,0.87578,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,6206.5,1.25978,0.75173,0.8556,0.51825,0.39738,0.40718,0.23988,1.31968,0.9198,0.87516,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,6289.36,1.26924,0.75241,0.85427,0.50897,0.40203,0.40805,0.2404,1.3175,0.91847,0.8751,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,6375.41,1.26292,0.74643,0.85522,0.50387,0.4039,0.40884,0.23932,1.32208,0.92268,0.87582,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,6463.23,1.25532,0.73984,0.85285,0.50797,0.40246,0.41005,0.2407,1.31937,0.92484,0.87535,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,6558.56,1.25368,0.73671,0.85329,0.50287,0.40273,0.40795,0.24112,1.31655,0.92565,0.8746,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,6651.04,1.24656,0.73972,0.85437,0.5111,0.3998,0.40841,0.24127,1.3191,0.92582,0.875,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,6739.61,1.24175,0.73206,0.85082,0.50576,0.40138,0.40657,0.2417,1.32072,0.92578,0.87538,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,6825.17,1.24712,0.73829,0.8525,0.51421,0.39749,0.40627,0.24181,1.32121,0.92393,0.87519,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,6912.36,1.24801,0.73264,0.85006,0.51393,0.39732,0.40835,0.24072,1.31932,0.92388,0.875,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,6998.45,1.2402,0.72591,0.85122,0.51467,0.39607,0.4057,0.24097,1.32106,0.92637,0.87598,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,7084.43,1.24532,0.72687,0.85138,0.51547,0.3968,0.40877,0.24156,1.32021,0.92987,0.87506,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,7171,1.24127,0.72914,0.84911,0.50708,0.40503,0.40741,0.2417,1.32042,0.92744,0.87472,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,7257.19,1.23742,0.72372,0.84968,0.50767,0.39911,0.40507,0.24023,1.32095,0.92716,0.87463,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,7343.37,1.23762,0.72031,0.84961,0.50318,0.40171,0.40674,0.24098,1.32189,0.92583,0.87541,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,7429.6,1.23365,0.71843,0.84924,0.50764,0.40169,0.40671,0.24097,1.32195,0.92393,0.87514,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,7634.84,1.23458,0.71618,0.85379,0.50832,0.39598,0.40719,0.24092,1.32704,0.92897,0.87652,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,7718.12,1.23623,0.71411,0.85033,0.50974,0.39605,0.40565,0.2408,1.32875,0.93056,0.87711,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,7800.42,1.23154,0.71166,0.8496,0.50837,0.3937,0.40612,0.24079,1.32916,0.93203,0.87697,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,7882.9,1.23067,0.70961,0.84977,0.50382,0.40067,0.40826,0.24066,1.32996,0.93337,0.87708,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,7963.98,1.22678,0.71038,0.8484,0.51287,0.3955,0.40765,0.24064,1.32914,0.93297,0.87714,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,8046.42,1.22892,0.70538,0.84655,0.50667,0.39783,0.4071,0.2405,1.32896,0.93216,0.87704,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,8127.47,1.22765,0.70301,0.84697,0.50334,0.39993,0.40665,0.24051,1.32902,0.93372,0.87729,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,8208.36,1.22348,0.70073,0.84625,0.50205,0.40009,0.40417,0.24041,1.32969,0.93485,0.8776,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,8289.31,1.22301,0.69926,0.84682,0.50225,0.39997,0.40376,0.24022,1.3295,0.93503,0.87751,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,8370.19,1.22112,0.69699,0.8465,0.50353,0.40091,0.40672,0.24008,1.33023,0.93617,0.87777,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
101,,1.21776,0.69786,0.84526,,,0.40622,0.24149,1.33087,0.93584,0.87753,,,,,,,,
102,,1.22156,0.69318,0.84493,,,0.4084,0.24081,1.33152,0.93679,0.87761,,,,,,,,
103,,1.21557,0.69101,0.84517,,,0.40741,0.2412,1.33118,0.93625,0.87748,,,,,,,,
104,,1.21496,0.68949,0.84452,,,0.40675,0.24096,1.33246,0.93741,0.87759,,,,,,,,
105,,1.21387,0.69026,0.84418,,,0.40486,0.23997,1.33293,0.93796,0.87742,,,,,,,,
106,,1.21263,0.68573,0.84385,,,0.40474,0.24085,1.33357,0.93753,0.87755,,,,,,,,
107,,1.21318,0.68378,0.84409,,,0.40423,0.23825,1.33324,0.93887,0.87746,,,,,,,,
108,,1.21194,0.68212,0.84346,,,0.40734,0.23847,1.33461,0.93942,0.87757,,,,,,,,
109,,1.21071,0.68041,0.84312,,,0.40616,0.23792,1.33508,0.93908,0.87741,,,,,,,,
110,,1.21126,0.68118,0.84279,,,0.40647,0.23866,1.33475,0.94035,0.87754,,,,,,,,
111,,1.20992,0.67706,0.84303,,,0.4036,0.23875,1.33612,0.94091,0.87745,,,,,,,,
112,,1.21369,0.67548,0.84238,,,0.40728,0.23829,1.33659,0.94057,0.87756,,,,,,,,
113,,1.20745,0.67383,0.84205,,,0.40661,0.23987,1.33626,0.94183,0.87739,,,,,,,,
114,,1.20801,0.6746,0.84171,,,0.40401,0.23835,1.33773,0.94239,0.87752,,,,,,,,
115,,1.20678,0.67063,0.84196,,,0.40377,0.23802,1.33819,0.94205,0.87743,,,,,,,,
116,,1.20554,0.66906,0.84131,,,0.40365,0.23871,1.33787,0.94331,0.87755,,,,,,,,
117,,1.20431,0.66742,0.84098,,,0.40402,0.2374,1.33934,0.94387,0.87738,,,,,,,,
